"name","team","salary"
"Stephen Curry","Golden State Warriors",43006362
"Russell Westbrook","Washington Wizards",41358814
"Chris Paul","Phoenix Suns",41358814
"James Harden","Brooklyn Nets",41254920
"John Wall","Houston Rockets",41254920
"Kevin Durant","Brooklyn Nets",40108950
"LeBron James","Los Angeles Lakers",39219565
"Paul George","LA Clippers",35450412
"Klay Thompson","Dallas Mavericks",35361360
"Mike Conley","Utah Jazz",34502130
"Jimmy Butler III","Miami Heat",34379100
"Kawhi Leonard","LA Clippers",34379100
"Kemba Walker","Boston Celtics",34379100
"Tobias Harris","Philadelphia 76ers",34358850
"Khris Middleton","Milwaukee Bucks",33051724
"Anthony Davis","Los Angeles Lakers",32742000
"Kyrie Irving","Brooklyn Nets",31742000
"Damian Lillard","Portland Trail Blazers",31626953
"Kevin Love","Cleveland Cavaliers",31258256
"Ben Simmons","Philadelphia 76ers",30559200
"Pascal Siakam","Toronto Raptors",30559200
"Kyle Lowry","Toronto Raptors",30500000
"Steven Adams","New Orleans Pelicans",29592696
"Joel Embiid","Philadelphia 76ers",29542010
"Andrew Wiggins","Golden State Warriors",29542010
"Nikola Jokic","Denver Nuggets",29542010
"Devin Booker","Phoenix Suns",29467800
"Karl-Anthony Towns","Minnesota Timberwolves",29467800
"Kristaps Porzingis","Dallas Mavericks",29467800
"CJ McCollum","Portland Trail Blazers",29354152
"Bradley Beal","Washington Wizards",28751775
"D'Angelo Russell","Minnesota Timberwolves",28649250
"Gordon Hayward","Charlotte Hornets",28500000
"Otto Porter Jr.","Orlando Magic",28489237
"DeMar DeRozan","San Antonio Spurs",27739975
"Giannis Antetokounmpo","Milwaukee Bucks",27528090
"Rudy Gobert","Utah Jazz",27525281
"Al Horford","Oklahoma City Thunder",27500000
"Jamal Murray","Denver Nuggets",27285000
"Brandon Ingram","New Orleans Pelicans",27285000
"Jrue Holiday","Milwaukee Bucks",26231111
"Nikola Vucevic","Chicago Bulls",2.6e+07
"Chandler Parsons","Atlanta Hawks",25102511
"Buddy Hield","Sacramento Kings",24701834
"LaMarcus Aldridge","Brooklyn Nets",2.4e+07
"Jaylen Brown","Boston Celtics",23735118
"Draymond Green","Golden State Warriors",22246956
"Harrison Barnes","Sacramento Kings",22215909
"Fred VanVleet","Toronto Raptors",21250000
"Victor Oladipo","Miami Heat",2.1e+07
"Malcolm Brogdon","Indiana Pacers",20700000
"Domantas Sabonis","Indiana Pacers",19800000
"Gary Harris","Orlando Magic",19610714
"Danilo Gallinari","Atlanta Hawks",19500000
"Zach LaVine","Chicago Bulls",19500000
